Anziano;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni e consigli utili per le persone anziane</paragraph></section>
";Anziano.png|Anziani;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
";
Automobilista;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni utili per chi usa o vuole usare l'automobile</paragraph></section>
";Automobilista.png|Automobilista;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
";
Bambino;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni utili per i bambini</paragraph></section>
";Bambino.png|Bambino;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
";
Consumatore;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni utili per i consumatori. Aggiornamenti statistici sui prezzi.</paragraph></section>
";Consumatore.png|Consumatore;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
";
Disabile;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Collegamenti e istruzioni utili per chi ha a che fare con una forma di disabilità</paragraph></section>
";Disabile.png|Disabile;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
";
Donna;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni e consigli utili per le donne</paragraph></section>
";Donna.png|Donna;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
";
Genitore;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Qui si trovano le principali informazioni utili per i genitori</paragraph></section>
";Genitore.png|Genitore;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
";
Giovane;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni e consigli utili per i giovani</paragraph></section>
";Giovane.png|Giovane;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
";
"Immigrato (o straniero)";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni e consigli utili per gli immigrati</paragraph></section>
";"Immigrato-o-straniero.png|Immigrato (o straniero)";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
";
Imprenditore;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni utili a chi svolge o intende svolgere attività di impresa</paragraph></section>
";Imprenditore.png|Imprenditore;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
";
"Italiano all'estero";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazione per chi è italiano e risiede o deve trasferirsi all'estero</paragraph></section>
";"Italiano-all-estero.png|Italiano all'estero";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
";
"Persona con disagio sociale";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Istruzioni e consigli utili per disagi sociali</paragraph></section>
";"Persona-con-disagio-sociale.png|Persona con disagio sociale";"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
";
Lavoratore;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni utili per chi lavora o è in cerca di lavoro</paragraph></section>
";Lavoratore.png|Lavoratore;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
";
Studente;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni utili per gli studenti</paragraph></section>
";Studente.png|Studente;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
";
Turista;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""><paragraph>Informazioni utili per il turista che vuole visitare Trento</paragraph></section>
";Turista.png|Turista;"<?xml version=""1.0"" encoding=""utf-8""?>
<section xmlns:image=""http://ez.no/namespaces/ezpublish3/image/"" xmlns:xhtml=""http://ez.no/namespaces/ezpublish3/xhtml/"" xmlns:custom=""http://ez.no/namespaces/ezpublish3/custom/""/>
";
