"Affari amministrativi e legali"
"Ambiente, territorio, casa e mobilità"
"Anagrafe, elettorale, sicurezza e statistiche"
"Attività economiche "
"Istruzione, cultura, sport e tempo libero"
"Organizzazione del comune"
"Patrimonio e lavori pubblici "
"Programmazione e contabilità "
"Risorse Umane"
"Sanità e servizi sociali"
